5а,Ромашихин Киллиан Емельянович
I
Выповский Зеэв Одинецович,М,2012.08.21,+7(916)471-58-73,+7(107)743-90-84
Артамонычев Яков Дитерович,М,2012.01.15,+7(930)785-84-59,+7(975)440-97-75
Феодосьева Апфия Вуколовна,Ж,2012.02.26,+7(649)593-96-68,+7(164)534-55-46
Юшкевич Ждан Децимович,М,2012.01.16,+7(588)906-04-64,+7(543)679-94-60
Двинских Лукреция Виссарионовна,Ж,2012.08.30,+7(590)154-15-49,+7(697)037-34-96
Шишков Авнер Луиевич,М,2012.10.22,+7(657)706-01-50,+7(840)398-56-58
Клишев Алоиз Меирович,М,2012.10.11,+7(653)610-35-37,+7(569)855-84-98
Фрязинов Феофил Менахем-Мендельевич,М,2012.04.20,+7(085)538-31-59,+7(979)187-77-53
Хворостков Людовик Питиримович,М,2012.05.13,+7(465)764-59-78,+7(974)997-47-44
Осинкин Аба Аттикович,М,2012.08.01,+7(149)101-59-60,+7(340)478-85-35
Кошлакова Светислава Садиковна,Ж,2012.03.16,+7(334)666-51-16,+7(397)666-17-15
Ярошенко Горацио Одинецович,М,2012.04.18,+7(848)161-44-90,+7(411)896-47-84
II
Большуков Виссарион Эрикович,М,2012.08.25,+7(874)544-84-78,+7(059)994-41-84
Петрованова Октавия Мефодьевна,Ж,2012.09.04,+7(067)900-05-19,+7(114)133-34-99
Ворфаламеев Владислав Мечиславович,М,2012.07.11,+7(335)814-59-09,+7(115)006-16-96
Пральников Касторий Секстович,М,2012.07.15,+7(140)790-63-09,+7(758)890-75-60
Ордынцев Орест Казимирович,М,2012.12.11,+7(568)756-39-99,+7(560)644-06-83
Седова Аделла Трофимовна,Ж,2012.12.15,+7(414)856-67-89,+7(450)467-60-66
Залогаа Диодора Мариусовна,Ж,2012.06.12,+7(899)970-18-75,+7(038)694-14-56
Ленченко Мефодий Саллюстьевич,М,2013.01.02,+7(411)984-50-63,+7(075)481-06-98
Еремчука Перегрина Исаевна,Ж,2013.01.06,+7(445)753-45-06,+7(365)974-71-45
Степынин Фавст Гвидович,М,2012.04.22,+7(473)891-51-67,+7(134)016-43-83
Годовикова Алевтина Ибрахимовна,Ж,2012.05.02,+7(633)473-53-16,+7(948)077-06-88
Кипарисов Валентино Конрадович,М,2012.06.14,+7(784)848-39-33,+7(790)355-43-11
